"MYE4: Population estimates: Summary for the UK, mid-2001 to mid-2020",,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,Mid-2020,Mid-2019,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011,Mid-2010,Mid-2009,Mid-2008,Mid-2007, Mid-2006,Mid-2005,Mid-2004,Mid-2003,Mid-2002,Mid-2001
K02000001,UNITED KINGDOM,Country,67081234,66796807,66435550,66040229,65648054,65110034,64596752,64105654,63705030,63285145,62759456,62260486,61823772,61319075,60827067,60413276,59950364,59636662,59365677,59113016
K03000001,GREAT BRITAIN,Country,65185724,64903140,64553909,64169395,63785917,63258413,62756254,62275929,61881396,61470827,60954623,60467153,60044620,59557392,59083954,58685543,58236322,57931738,57668143,57424178
K04000001,ENGLAND AND WALES,Country,59719724,59439840,59115809,58744595,58381217,57885413,57408654,56948229,56567796,56170927,55692423,55235253,54841720,54387392,53950854,53575343,53152022,52863238,52602143,52359978
E92000001,ENGLAND,Country,56550138,56286961,55977178,55619430,55268067,54786327,54316618,53865817,53493729,53107169,52642452,52196381,51815853,51381093,50965186,50606034,50194600,49925517,49679267,49449746
E12000001,NORTH EAST,Region,2680763,2669941,2657909,2644727,2636589,2624579,2618736,2610563,2602387,2596441,2586868,2575441,2569312,2562045,2552568,2547127,2540502,2540461,2540600,2540090
E06000047,County Durham,Unitary Authority,533149,530094,526980,523662,521776,519347,517573,515923,514261,512994,510628,507311,505617,502960,499348,497218,495147,493931,493538,493678
E06000005,Darlington,Unitary Authority,107402,106803,106566,106347,106327,105998,105877,105726,105503,105584,105028,104355,103694,102632,101509,100287,99343,98911,98474,97894
E06000001,Hartlepool,Unitary Authority,93836,93663,93242,93019,92845,92498,92606,92662,92261,92088,91773,91530,91379,90969,90781,90457,90317,90134,89993,90152
E06000002,Middlesbrough,Unitary Authority,141285,140980,140545,140639,140326,139310,138991,138911,138726,138368,137667,137273,137885,138190,138169,138517,138451,139050,140090,141233
E06000057,Northumberland,Unitary Authority,323820,322434,320274,319030,317444,316453,316832,316389,316489,316278,315463,314489,314057,312960,311375,310752,310140,309448,308499,307363
E06000003,Redcar and Cleveland,Unitary Authority,137228,137150,136718,136005,135496,135324,135102,134960,134976,135164,135383,135867,136512,136940,137621,138177,138643,138565,138520,139159
E06000004,Stockton-on-Tees,Unitary Authority,197419,197348,197213,196487,195958,195128,194423,193433,192487,191824,190902,189978,189039,187937,187270,186350,185687,185699,184940,183795
E11000007,Tyne and Wear (Met County),Metropolitan County,1146624,1141469,1136371,1129538,1126417,1120521,1117332,1112559,1107684,1104141,1100024,1094638,1091129,1089457,1086495,1085369,1082774,1084723,1086546,1086816
E08000037,Gateshead,Metropolitan District,201950,202055,202508,202419,202628,201724,200781,200098,200272,200349,198731,197481,196078,194934,193615,192857,192317,192115,191559,191178
E08000021,Newcastle upon Tyne,Metropolitan District,306824,302820,300196,295842,293713,290764,288340,285821,281893,279092,276681,273422,271649,271577,270258,269608,266884,266862,267001,266241
E08000022,North Tyneside,Metropolitan District,208871,207913,205985,204473,203575,202725,202857,202167,201444,201206,200164,199017,197964,196470,195365,194120,193195,193037,192739,192003
E08000023,South Tyneside,Metropolitan District,151133,150976,150265,149555,149194,148495,148572,148384,148311,148164,148468,148509,148626,148642,148887,149585,150265,151181,152210,152793
E08000024,Sunderland,Metropolitan District,277846,277705,277417,277249,277307,276813,276782,276089,275764,275330,275980,276209,276812,277834,278370,279199,280113,281528,283037,284601
E12000002,NORTH WEST,Region,7367456,7341196,7292093,7258627,7223961,7175178,7133026,7103488,7084470,7055961,7019921,6986156,6958547,6929277,6901585,6870021,6840369,6814660,6784880,6772985
E06000008,Blackburn with Darwen,Unitary Authority,150030,149696,148942,148772,148462,147856,147416,147763,147854,147657,146966,146197,144902,143942,143110,142145,141418,140429,139538,138453
E06000009,Blackpool,Unitary Authority,138381,139446,139305,139870,139983,140162,140898,141603,142037,142080,142753,142578,142921,143644,143733,143688,143143,142658,142164,142270
E06000049,Cheshire East,Unitary Authority,386667,384152,380790,378846,377303,375722,374606,373006,372383,370736,369051,368023,367160,365003,362049,359807,357354,355529,353348,352104
E06000050,Cheshire West and Chester,Unitary Authority,343823,343071,340502,337986,335724,333949,332272,331069,330224,329526,329553,329116,329353,329364,328358,327169,325496,324378,322657,322154
E06000006,Halton,Unitary Authority,129759,129410,128432,127595,127306,126719,126501,126074,125781,125722,124802,123636,122907,122040,121275,120396,119960,119178,118788,118559
E06000007,Warrington,Unitary Authority,209397,210014,209547,209704,208973,207781,206681,205165,203795,202709,201309,200057,198187,196559,194603,192992,191837,191987,191615,191202
E10000006,Cumbria,County,499781,500012,498888,498375,498793,498581,498376,498499,499205,499817,500165,500786,500916,500779,498813,497040,494918,491329,488681,487795
E07000026,Allerdale,Non-metropolitan District,97831,97761,97527,97213,97099,96756,96532,96269,96269,96444,96301,96377,96186,95880,95279,95035,94846,94559,93816,93544
E07000027,Barrow-in-Furness,Non-metropolitan District,66726,67049,67137,67099,67532,67676,67769,67936,68471,69056,69429,69776,69844,70034,70267,70545,70845,70914,71340,71960
E07000028,Carlisle,Non-metropolitan District,108524,108678,108387,108274,108388,108109,108059,107992,107925,107475,106985,106966,107178,107293,106707,105562,104412,102777,101721,100764
E07000029,Copeland,Non-metropolitan District,68041,68183,68424,68689,69306,69688,69866,70052,70309,70627,70629,70662,70789,70677,70329,69899,69750,69273,69095,69251
E07000030,Eden,Non-metropolitan District,53754,53253,52881,52779,52642,52576,52649,52657,52687,52502,52678,52595,52427,52211,51891,51698,51393,50878,50276,49879
E07000031,South Lakeland,Non-metropolitan District,104905,105088,104532,104321,103826,103776,103501,103593,103544,103713,104143,104410,104492,104684,104340,104301,103672,102928,102433,102397
E11000001,Greater Manchester (Met County),Metropolitan County,2848286,2835686,2812569,2798799,2780844,2754017,2730123,2713572,2701377,2685386,2661841,2639833,2620007,2598619,2582260,2564055,2549752,2538555,2523214,2516096
E08000001,Bolton,Metropolitan District,288248,287550,285372,284813,283536,281828,280788,280271,279084,277296,275168,273049,270497,268319,266816,265016,264511,263814,262367,261302
E08000002,Bury,Metropolitan District,190708,190990,190108,189628,188503,187788,187287,186468,186150,185422,184755,183885,183000,182713,181809,181028,180999,181405,181084,180655
E08000003,Manchester,Metropolitan District,555741,552858,547627,545501,541319,529809,518834,513665,510501,502902,492598,483784,477408,470538,463749,455745,444925,436727,428221,422915
E08000004,Oldham,Metropolitan District,237628,237110,235623,233759,232349,230197,228182,226966,225734,225157,223807,222811,221907,220723,220033,219288,218988,218490,218455,218537
E08000005,Rochdale,Metropolitan District,223659,222412,220001,218459,216350,214314,212976,212137,211947,211929,210758,210248,209666,208393,207845,207200,207286,207528,206697,206440
E08000006,Salford,Metropolitan District,262697,258834,254408,251332,248121,245186,241539,238674,236946,234487,231837,228948,226782,223468,221931,219536,217921,217312,216310,216978
E08000007,Stockport,Metropolitan District,294197,293423,291775,291045,289821,288169,286388,284890,283766,283253,282614,282263,281477,280953,280498,281195,282368,282932,283502,284557
E08000008,Tameside,Metropolitan District,227117,226493,225197,224119,223109,221507,220696,220545,220201,219727,218774,217417,216360,214750,214187,213474,213667,213470,213211,213087
E08000009,Trafford,Metropolitan District,237579,237354,236370,235493,234210,232975,232319,230146,228308,227091,225234,223065,220939,219359,217369,215430,214129,213031,211062,210172
E08000010,Wigan,Metropolitan District,330712,328662,326088,324650,323526,322244,321114,319810,318740,318122,316296,314363,311971,309403,308023,306143,304958,303846,302305,301453
E10000017,Lancashire,County,1227076,1219799,1210053,1201855,1195418,1188875,1182605,1178594,1175370,1171558,1167579,1164141,1163352,1161832,1159140,1154308,1149463,1144581,1138374,1136542
E07000117,Burnley,Non-metropolitan District,89344,88920,88527,87705,87496,87262,87194,86829,87091,87032,86902,87027,87328,87256,87646,87624,87923,88282,88842,89521
E07000118,Chorley,Non-metropolitan District,118870,118216,116821,115772,114266,112963,111623,110531,109075,107591,106443,105682,105396,104362,103807,103279,102778,102003,101142,100559
E07000119,Fylde,Non-metropolitan District,81211,80780,79770,78863,78153,77490,77140,76548,76073,76098,75610,75441,75230,75305,74824,74841,74667,74212,73658,73340
E07000120,Hyndburn,Non-metropolitan District,81133,81043,80815,80410,80392,80113,80150,79953,80160,80549,80876,81003,81176,81453,81491,81311,81280,81408,81233,81495
E07000121,Lancaster,Non-metropolitan District,148119,146038,144246,142487,141723,140787,140172,139835,139317,137823,137120,136013,135812,136235,136682,136764,135472,134635,133628,134049
E07000122,Pendle,Non-metropolitan District,92145,92112,91405,90696,90515,89925,89655,89973,89541,89576,89234,89287,89005,88819,88788,88312,88330,88559,88830,89277
E07000123,Preston,Non-metropolitan District,144147,143135,141818,141346,141023,140685,139907,140002,140456,140054,138831,137956,138443,138470,137784,136200,134410,132685,131110,130372
E07000124,Ribble Valley,Non-metropolitan District,62026,60888,60057,59504,58864,58519,58105,57878,57606,57292,57218,57004,57158,56986,56664,56358,56054,55400,54659,54053
E07000125,Rossendale,Non-metropolitan District,71432,71482,70895,70365,69787,69418,69104,68698,68332,68053,67824,67479,67063,66623,66199,65872,65623,65729,65556,65647
E07000126,South Ribble,Non-metropolitan District,111086,110788,110527,110400,110136,109685,109116,108964,108999,109181,108846,108609,107830,107128,106512,105753,105578,105149,104522,103949
E07000127,West Lancashire,Non-metropolitan District,114496,114306,113949,113881,113061,112482,111845,111216,110911,110617,110763,110583,110666,110720,110308,109806,109588,109273,108750,108480
E07000128,Wyre,Non-metropolitan District,113067,112091,111223,110426,110002,109546,108594,108167,107809,107692,107912,108057,108245,108475,108435,108188,107760,107246,106444,105800
E11000002,Merseyside (Met County),Metropolitan County,1434256,1429910,1423065,1416825,1411155,1401516,1393548,1388143,1386444,1380770,1375902,1371789,1368842,1367495,1368244,1368421,1367028,1366036,1366501,1367810
E08000011,Knowsley,Metropolitan District,152452,150862,149571,148560,148001,147262,146429,146091,145942,145903,146398,147070,147822,148188,148788,148900,149216,149795,150506,151238
E08000012,Liverpool,Metropolitan District,500474,498042,494814,491549,487605,480873,474569,471789,470191,465656,461403,457523,454468,453582,453055,452278,448091,444960,443784,441858
E08000014,Sefton,Metropolitan District,275899,276410,275396,274589,274853,274089,273856,273372,273798,273969,273820,274153,274735,275085,275852,276957,278853,279913,280866,282884
E08000013,St. Helens,Metropolitan District,181095,180585,180049,179331,178480,177592,177191,176221,176124,175405,175203,175272,175106,174970,175199,175361,175738,175997,176295,176826
E08000015,Wirral,Metropolitan District,324336,324011,323235,322796,322216,321700,321503,320670,320389,319837,319078,317771,316711,315670,315350,314925,315130,315371,315050,315004
E12000003,YORKSHIRE AND THE HUMBER,Region,5526350,5502967,5479615,5450130,5425370,5390211,5360117,5337940,5316897,5288212,5254788,5223344,5198675,5164138,5134016,5108408,5063199,5026314,5000111,4976643
E06000011,East Riding of Yorkshire,Unitary Authority,343201,341173,339614,338061,337804,336756,337242,336072,335901,334673,333599,332748,332464,330865,328587,327268,325117,321869,318633,314854
E06000010,"Kingston upon Hull, City of",Unitary Authority,259126,259778,260645,260673,260035,258587,257414,257188,257012,256123,256174,256079,256746,255761,255497,255159,253049,250604,249463,249913
E06000012,North East Lincolnshire,Unitary Authority,159364,159563,159821,159826,159828,159971,160019,159963,159788,159735,158951,158689,158708,158589,158610,158725,158542,158373,158003,157951
